service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS20262-hba26011-Weekday-02,1,1,1,1,1,0,0,20260514,20260612
BUS20262-hbb26016-Saturday-02,0,0,0,0,0,1,0,20260516,20260606
BUS20262-hbb26wk1-Weekday-02,1,1,1,1,0,0,0,20260514,20260611
BUS20262-hbc26016-Saturday-02,0,0,0,0,0,1,0,20260516,20260606
BUS20262-hbc26wk1-Weekday-02,1,1,1,1,0,0,0,20260514,20260611
BUS20262-hbf26011-Weekday-02,1,1,1,1,1,0,0,20260514,20260612
BUS20262-hbg26016-Saturday-02,0,0,0,0,0,1,0,20260516,20260606
BUS20262-hbg26wk1-Weekday-02,1,1,1,1,0,0,0,20260514,20260611
BUS20262-hbl26016-Saturday-02,0,0,0,0,0,1,0,20260516,20260606
BUS20262-hbl26wk1-Weekday-02,1,1,1,1,0,0,0,20260514,20260611
BUS20262-hbq26016-Saturday-02,0,0,0,0,0,1,0,20260516,20260606
BUS20262-hbq26wk1-Weekday-02,1,1,1,1,0,0,0,20260514,20260611
BUS20262-hbs26016-Saturday-02,0,0,0,0,0,1,0,20260516,20260606
BUS20262-hbs26fw1-Weekday-02,0,0,0,0,1,0,0,20260515,20260605
BUS20262-hbs26sr1-Weekday-02,0,0,0,1,0,0,0,20260611,20260611
BUS20262-hbs26sw1-Weekday-02,1,1,1,1,0,0,0,20260514,20260610
BUS20262-hbs26sy1-Weekday-02,0,0,0,0,1,0,0,20260612,20260612
BUS20262-hbt26016-Saturday-02,0,0,0,0,0,1,0,20260516,20260606
BUS20262-hbt26wk1-Weekday-02,1,1,1,1,0,0,0,20260514,20260611
Boat-EastBoston-Saturday-Summer-26,0,0,0,0,0,1,0,20260516,20260613
Boat-EastBoston-Sunday-Summer-26,0,0,0,0,0,0,1,20260517,20260607
Boat-EastBoston-Weekday-Summer-26,1,1,1,1,1,0,0,20260514,20260612
Boat-F1-Saturday-Summer-26,0,0,0,0,0,1,0,20260523,20260613
Boat-F1-Sunday-Summer-26,1,0,0,0,0,0,1,20260524,20260531
Boat-F1-Weekday-Summer-26,1,1,1,1,1,0,0,20260514,20260612
Boat-F2H-Saturday-Summer-26,0,0,0,0,0,1,0,20260523,20260613
Boat-F2H-Sunday-Summer-26,1,0,0,0,0,0,1,20260524,20260531
Boat-F2H-Weekday-Summer-26,1,1,1,1,1,0,0,20260514,20260612
Boat-F4-Saturday-Summer-26,0,0,0,0,0,1,0,20260516,20260613
Boat-F4-Sunday-Summer-26,0,0,0,0,0,0,1,20260517,20260607
Boat-F4-Weekday-Summer-26,1,1,1,1,1,0,0,20260514,20260612
Boat-F6-Weekday-Summer-26,1,1,1,1,1,0,0,20260514,20260612
Boat-F7-Weekday-Summer-26,1,1,1,1,1,0,0,20260514,20260612
Boat-F8-Saturday-Summer-26,0,0,0,0,0,1,0,20260523,20260613
Boat-F8-Sunday-Summer-26,1,0,0,0,0,0,1,20260524,20260531
Boat-Lynn-Saturday-Summer-26,0,0,0,0,0,1,0,20260523,20260613
Boat-Lynn-Sunday-Summer-26,1,0,0,0,0,0,1,20260524,20260531
Boat-Lynn-Weekday-Summer-26,1,1,1,1,1,0,0,20260518,20260612
Boat-Lynn-Weekday-Whale-Summer-26,0,0,0,1,1,0,0,20260514,20260515
CR-FoxboroWalpoleShuttle-SummerWeekday,1,1,1,1,1,0,0,20260526,20260605
CR-FoxboroWalpoleShuttle-Weekday,1,1,1,1,1,0,0,20260514,20260522
CR-WorcesterGrafton-Saturday,0,0,0,0,0,1,0,20260516,20260516
CR-WorcesterGrafton-Sunday,0,0,0,0,0,0,1,20260517,20260517
DIV20262-hlm26ml1-Weekday-01-Scd2b633c,0,0,0,1,0,0,0,20260514,20260514
DIV20262-hms26fi1-Weekday-01,0,0,0,0,1,0,0,20260515,20260515
DIV20262-hms26fr1-Weekday-01,0,0,0,0,1,0,0,20260529,20260529
DIV20262-hms26mo1-Weekday-01,1,0,0,0,0,0,0,20260518,20260518
DIV20262-hms26oh6-Saturday-01,0,0,0,0,0,1,0,20260530,20260530
DIV20262-hms26oh7-Sunday-01,0,0,0,0,0,0,1,20260531,20260531
DIV20262-hms26rs1-Weekday-01,0,0,0,1,0,0,0,20260514,20260514
