service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality,rating_start_date,rating_end_date,rating_description
BUS20262-hba26011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbb26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbb26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbc26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbc26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbf26011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbg26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbg26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbl26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbl26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbq26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbq26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbs26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbs26fw1-Weekday-02,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
BUS20262-hbs26sr1-Weekday-02,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
BUS20262-hbs26sw1-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbs26sy1-Weekday-02,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
BUS20262-hbt26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbt26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
Boat-EastBoston-Saturday-Summer-26,Saturday schedule,Saturday,Saturday,1,20260330,20260822,Spring/Summer
Boat-EastBoston-Sunday-Summer-26,Sunday schedule,Sunday,Sunday,1,20260330,20260822,Spring/Summer
Boat-EastBoston-Weekday-Summer-26,Weekday schedule,Weekday,Weekday,1,20260330,20260822,Spring/Summer
Boat-F1-Saturday-Summer-26,Saturday schedule,Saturday,Saturday,1,20260330,20260822,Spring/Summer
Boat-F1-Sunday-Summer-26,Sunday schedule,Sunday,Sunday,1,20260330,20260822,Spring/Summer
Boat-F1-Weekday-Summer-26,Weekday schedule,Weekday,Weekday,1,20260330,20260822,Spring/Summer
Boat-F2H-Saturday-Summer-26,Saturday schedule,Saturday,Saturday,1,20260330,20260822,Spring/Summer
Boat-F2H-Sunday-Summer-26,Sunday schedule,Sunday,Sunday,1,20260330,20260822,Spring/Summer
Boat-F2H-Weekday-Summer-26,Weekday schedule,Weekday,Weekday,1,20260330,20260822,Spring/Summer
Boat-F4-Saturday-Summer-26,Saturday schedule,Saturday,Saturday,1,20260330,20260822,Spring/Summer
Boat-F4-Sunday-Summer-26,Sunday schedule,Sunday,Sunday,1,20260330,20260822,Spring/Summer
Boat-F4-Weekday-Summer-26,Weekday schedule,Weekday,Weekday,1,20260330,20260822,Spring/Summer
Boat-F6-Weekday-Summer-26,Weekday schedule,Weekday,Weekday,1,20260330,20260822,Spring/Summer
Boat-F7-Weekday-Summer-26,Weekday schedule,Weekday,Weekday,1,20260330,20260822,Spring/Summer
Boat-F8-Saturday-Summer-26,Saturday schedule,Saturday,Saturday,1,20260330,20260822,Spring/Summer
Boat-F8-Sunday-Summer-26,Sunday schedule,Sunday,Sunday,1,20260330,20260822,Spring/Summer
Boat-Lynn-Saturday-Summer-26,Saturday schedule,Saturday,Saturday,1,20260330,20260822,Spring/Summer
Boat-Lynn-Sunday-Summer-26,Sunday schedule,Sunday,Sunday,1,20260330,20260822,Spring/Summer
Boat-Lynn-Weekday-Summer-26,Weekday schedule,Weekday,Weekday,1,20260330,20260822,Spring/Summer
Boat-Lynn-Weekday-Whale-Summer-26,Weekday schedule,Weekday,Weekday,1,20260330,20260822,Spring/Summer
CR-FoxboroWalpoleShuttle-SummerWeekday,Weekday schedule,Weekday,Weekday,4,20260526,20261129,Spring/Summer
CR-FoxboroWalpoleShuttle-Weekday,Weekday schedule,Weekday,Weekday,4,20251214,20260404,Winter/Spring
CR-WorcesterGrafton-Saturday,Saturday schedule,Saturday,Saturday,4,20260405,20260613,Spring
CR-WorcesterGrafton-Sunday,Sunday schedule,Sunday,Sunday,4,20260405,20260613,Spring
DIV20262-hlm26ml1-Weekday-01-Scd2b633c,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
DIV20262-hms26fi1-Weekday-01,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
DIV20262-hms26fr1-Weekday-01,Friday schedule,Friday,Weekday,1,20260405,20260613,Spring
DIV20262-hms26mo1-Weekday-01,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
DIV20262-hms26oh6-Saturday-01,Saturday schedule (modified service),Saturday (modified service),Saturday,4,20260405,20260613,Spring
DIV20262-hms26oh7-Sunday-01,Sunday schedule (modified service),Sunday (modified service),Sunday,4,20260405,20260613,Spring
DIV20262-hms26rs1-Weekday-01,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
DIV20262-hms26rs6-Saturday-01,Saturday schedule (modified service),Saturday (modified service),Saturday,4,20260405,20260613,Spring
DIV20262-hms26rs7-Sunday-01,Sunday schedule (modified service),Sunday (modified service),Sunday,4,20260405,20260613,Spring
FALL 2025-NORTHSS-Weekend-1,Weekend schedule,Weekend,Weekend,1,20251027,20260524,Fall/Winter
FALL 2025-NORTHSS-Weekend-1-S6561ad1d,Weekend schedule,Weekend,Weekend,1,20251027,20260524,Fall/Winter
