service_id,date,exception_type,holiday_name
BUS20262-hba26011-Weekday-02,20260525,2,Memorial Day
BUS20262-hbb26wk1-Weekday-02,20260525,2,Memorial Day
BUS20262-hbc26wk1-Weekday-02,20260525,2,Memorial Day
BUS20262-hbf26011-Weekday-02,20260525,2,Memorial Day
BUS20262-hbg26wk1-Weekday-02,20260525,2,Memorial Day
BUS20262-hbl26wk1-Weekday-02,20260525,2,Memorial Day
BUS20262-hbq26wk1-Weekday-02,20260525,2,Memorial Day
BUS20262-hbs26sw1-Weekday-02,20260525,2,Memorial Day
BUS20262-hbt26wk1-Weekday-02,20260525,2,Memorial Day
Boat-EastBoston-Sunday-Summer-26,20260525,1,Memorial Day
Boat-EastBoston-Weekday-Summer-26,20260525,2,Memorial Day
Boat-F1-Weekday-Summer-26,20260525,2,Memorial Day
Boat-F2H-Weekday-Summer-26,20260525,2,Memorial Day
Boat-F4-Sunday-Summer-26,20260525,1,Memorial Day
Boat-F4-Weekday-Summer-26,20260525,2,Memorial Day
Boat-F6-Weekday-Summer-26,20260525,2,Memorial Day
Boat-F7-Weekday-Summer-26,20260525,2,Memorial Day
Boat-Lynn-Weekday-Summer-26,20260525,2,Memorial Day
LRV20262-hlb26011-Weekday-01,20260525,2,Memorial Day
LRV20262-hlb26011-Weekday-01-S037dae5e,20260525,2,Memorial Day
LRV20262-hlb26011-Weekday-01-Sf7c012df,20260525,2,Memorial Day
LRV20262-hlm26011-Weekday-01-Scd2b633c,20260525,2,Memorial Day
MemorialDay,20260525,1,Memorial Day
PRIV20262-hpa26011-Weekday-01,20260525,2,Memorial Day
PRIV20262-hpj26011-Weekday-01,20260525,2,Memorial Day
PRIV20262-hpj26017-Sunday-01,20260525,1,Memorial Day
PRIV20262-hpp26011-Weekday-01,20260525,2,Memorial Day
RTL20262-hmb26011-Weekday-01,20260525,2,Memorial Day
RTL20262-hmo26011-Weekday-01,20260525,2,Memorial Day
RTL20262-hms26011-Weekday-01,20260525,2,Memorial Day
SPRING2026-NORTHSS-Weekend-1,20260525,1,Memorial Day
SPRING2026-NORTHSS-Weekend-1-S6561ad1d,20260525,1,Memorial Day
SPRING2026-NORTHSS-Weekend-1-S7d8482ee,20260525,1,Memorial Day
SPRING2026-NORTHSS-Weekend-1-S9d378dcf,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1-S0b87ffae,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1-S4011ecb9,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1-S85407dc6,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1-Sb0e4ed14,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1-Sb7371956,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1-Sc9a3b080,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1-Scb37d3c2,20260525,1,Memorial Day
SPRING2026-SOUTHSS-Weekend-1-Sd88ed885,20260525,1,Memorial Day
RTL20262-hms26fr1-Weekday-01,20260529,2,
fare_regular,20260605,2,
RTL20262-hms26016-Saturday-01,20260606,1,
fare_regular,20260606,2,
Boat-F1-Sunday-Summer-26,20260607,1,
Boat-F2H-Sunday-Summer-26,20260607,1,
Boat-F8-Sunday-Summer-26,20260607,1,
Boat-Lynn-Sunday-Summer-26,20260607,1,
PRIV20262-hpa26sp7-Sunday-01,20260607,1,
RTL20262-hms26017-Sunday-01,20260607,1,
